"","Site","Plot","Treatment","Year","type","POOL","TAOF","VETH","BOER","CHSE","PLJA","SATR","BASC","GUSA","ERSP","SPHA","ACMI","MEMO","PEVI","CAJA","ERFL","DAPU","BOGR","ELEL","MEAL","LUKI","CHER","AMDI","ANRO","BRPO","MUMO","POPR","POHI","ARFE","HYHO","IRMI","OXLA","ARCA","ASHU","CHAL","BLTR","CHSES","KOAM","CHEN","LILE","UKFO","ATCO","EPVI","SPAI","KRLA","CHRE","ERNA","HECO","JUMO","HELO","ZIGR","ARPU","BOGR ","SOEL","GLGO","CHDE","STTE","ATCA","CAGE","CAPA","ERFO","ERRA","FEAR","GETR","ROWO","VIAM","ASSP","LUAR","TRDU","CIWH","PTAQ","COAR","LASE","PLRI","PSMO","UKGR","ALGE","EPBR","MURI","PODO","MESP"
"25","Desert scrub","9","Water Addition",2021,"seedbank",NA,NA,NA,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.869565217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Desert scrub","10","Water Addition",2021,"seedbank",NA,0,NA,0.0625,NA,0.125,0.625,0.125,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Desert scrub","11","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Desert scrub","12","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Juniper savanna","1","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Juniper savanna","2","Control",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.277777777777778,0.0555555555555556,NA,0.111111111111111,NA,NA,NA,NA,0.0555555555555556,NA,NA,0.333333333333333,0.111111111111111,0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Juniper savanna","3","Control",2021,"seedbank",NA,0,NA,NA,NA,NA,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Juniper savanna","4","Water Exclusion",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Juniper savanna","5","Control",2021,"seedbank",NA,NA,NA,NA,0.166666666666667,NA,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.333333333333333,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Juniper savanna","6","Water Addition",2021,"seedbank",NA,0,0,NA,NA,NA,NA,0.230769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615384615384615,0.153846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Juniper savanna","7","Control",2021,"seedbank",NA,0,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Juniper savanna","8","Water Exclusion",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.125,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Juniper savanna","9","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Juniper savanna","10","Water Exclusion",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,0.189189189189189,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027027027027027,0.108108108108108,0.027027027027027,NA,0.621621621621622,0.027027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Juniper savanna","11","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Juniper savanna","12","Water Exclusion",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Mixed conifer meadow","1","Control",2021,"seedbank",NA,NA,0.474576271186441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00564971751412429,NA,NA,0.0338983050847458,NA,NA,NA,NA,0.152542372881356,0.0169491525423729,0.0225988700564972,0.293785310734463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Mixed conifer meadow","2","Water Exclusion",2021,"seedbank",NA,NA,0.711111111111111,NA,NA,NA,NA,NA,NA,NA,0.00740740740740741,NA,NA,NA,NA,NA,NA,NA,0.00740740740740741,NA,NA,NA,NA,0.0740740740740741,NA,0.0148148148148148,0.185185185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Mixed conifer meadow","3","Control",2021,"seedbank",NA,0.0167364016736402,0.577405857740586,NA,NA,NA,NA,NA,NA,0.0209205020920502,NA,NA,NA,NA,NA,NA,NA,NA,0.0125523012552301,NA,NA,NA,NA,0.0502092050209205,0.00418410041841004,0,0.309623430962343,0.00836820083682008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Mixed conifer meadow","4","Water Addition",2021,"seedbank",NA,NA,0.508196721311475,NA,NA,NA,NA,NA,NA,0.0163934426229508,NA,NA,NA,NA,NA,NA,NA,NA,0.0819672131147541,NA,NA,NA,NA,0.0218579234972678,NA,0.0218579234972678,0.33879781420765,0.00546448087431694,0.00546448087431694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Mixed conifer meadow","5","Water Exclusion",2021,"seedbank",NA,0.00549450549450549,0.538461538461538,NA,NA,NA,NA,NA,NA,0.043956043956044,0.00549450549450549,NA,NA,NA,NA,NA,NA,NA,0.010989010989011,NA,NA,NA,NA,0.00549450549450549,NA,0.00549450549450549,0.340659340659341,0.021978021978022,NA,0.010989010989011,0.010989010989011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Mixed conifer meadow","6","Water Addition",2021,"seedbank",NA,NA,0.535433070866142,NA,0.0078740157480315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062992125984252,NA,NA,NA,NA,0.078740157480315,NA,0.0078740157480315,0.299212598425197,0.0078740157480315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Mixed conifer meadow","7","Control",2021,"seedbank",NA,0,0.392307692307692,NA,NA,NA,NA,NA,NA,0.1,0.0307692307692308,NA,NA,NA,NA,NA,NA,NA,0.0846153846153846,NA,NA,NA,NA,0.0153846153846154,0.0153846153846154,0.0461538461538462,0.307692307692308,0.00769230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Mixed conifer meadow","8","Water Exclusion",2021,"seedbank",NA,NA,0.468599033816425,NA,NA,NA,NA,NA,NA,0.0289855072463768,0.00483091787439614,NA,NA,NA,NA,NA,NA,NA,0.0144927536231884,NA,NA,NA,NA,0.0241545893719807,NA,0.00966183574879227,0.429951690821256,0.0144927536231884,NA,NA,NA,0.00483091787439614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
