"","Site","Plot","Treatment","Species","PFT","tottally","blanktot","totabun","relabun","Year","type"
"1","Antelope","1","Water Addition","BOER","PG4",1,0,1,0.0555555555555556,2021,"seedbank"
"2","Antelope","1","Water Addition","CHSE","A",1,0,1,0.0555555555555556,2021,"seedbank"
"3","Antelope","1","Water Addition","PLJA","PG4",1,0,1,0.0555555555555556,2021,"seedbank"
"4","Antelope","1","Water Addition","SATR","A",15,0,15,0.833333333333333,2021,"seedbank"
"5","Antelope","2","Water Addition","BASC","A",1,0,1,0.027027027027027,2021,"seedbank"
"6","Antelope","2","Water Addition","BOER","PG4",1,0,1,0.027027027027027,2021,"seedbank"
"7","Antelope","2","Water Addition","GUSA","S",3,0,3,0.0810810810810811,2021,"seedbank"
"8","Antelope","2","Water Addition","SATR","A",32,0,32,0.864864864864865,2021,"seedbank"
"9","Antelope","3","Control","CHSE","A",1,0,1,0.0161290322580645,2021,"seedbank"
"10","Antelope","3","Control","ERSP","A",1,0,1,0.0161290322580645,2021,"seedbank"
"11","Antelope","3","Control","SATR","A",59,0,59,0.951612903225806,2021,"seedbank"
"12","Antelope","3","Control","SPHA","PF",1,0,1,0.0161290322580645,2021,"seedbank"
"13","Antelope","4","Water Exclusion","ACMI","PF",4,0,4,0.0851063829787234,2021,"seedbank"
"14","Antelope","4","Water Exclusion","ERSP","A",4,0,4,0.0851063829787234,2021,"seedbank"
"15","Antelope","4","Water Exclusion","MEMO","A",1,0,1,0.0212765957446809,2021,"seedbank"
"16","Antelope","4","Water Exclusion","SATR","A",37,0,37,0.787234042553192,2021,"seedbank"
"17","Antelope","4","Water Exclusion","TAOF","PF",2,1,1,0.0212765957446809,2021,"seedbank"
"18","Antelope","5","Water Addition","BOER","PG4",5,0,5,0.161290322580645,2021,"seedbank"
"19","Antelope","5","Water Addition","ERSP","A",12,0,12,0.387096774193548,2021,"seedbank"
"20","Antelope","5","Water Addition","PLJA","PG4",2,0,2,0.0645161290322581,2021,"seedbank"
"21","Antelope","5","Water Addition","SATR","A",12,0,12,0.387096774193548,2021,"seedbank"
"22","Antelope","6","Water Exclusion","CHSE","A",1,0,1,0.0588235294117647,2021,"seedbank"
"23","Antelope","6","Water Exclusion","GUSA","S",2,0,2,0.117647058823529,2021,"seedbank"
"24","Antelope","6","Water Exclusion","SATR","A",14,0,14,0.823529411764706,2021,"seedbank"
"25","Antelope","7","Control","ERSP","A",2,0,2,0.0357142857142857,2021,"seedbank"
"26","Antelope","7","Control","SATR","A",53,0,53,0.946428571428571,2021,"seedbank"
"27","Antelope","7","Control","SPHA","PF",1,0,1,0.0178571428571429,2021,"seedbank"
"28","Antelope","8","Control","BASC","A",1,0,1,0.125,2021,"seedbank"
"29","Antelope","8","Control","BOER","PG4",1,0,1,0.125,2021,"seedbank"
"30","Antelope","8","Control","SATR","A",6,0,6,0.75,2021,"seedbank"
"31","Antelope","9","Water Exclusion","SATR","A",18,0,18,1,2021,"seedbank"
"32","Antelope","10","Control","BASC","A",1,0,1,0.0555555555555556,2021,"seedbank"
"33","Antelope","10","Control","SATR","A",17,0,17,0.944444444444444,2021,"seedbank"
"34","Antelope","11","Water Addition","BASC","A",1,0,1,0.0277777777777778,2021,"seedbank"
"35","Antelope","11","Water Addition","BOER","PG4",3,0,3,0.0833333333333333,2021,"seedbank"
"36","Antelope","11","Water Addition","ERSP","A",2,0,2,0.0555555555555556,2021,"seedbank"
"37","Antelope","11","Water Addition","MEMO","A",1,0,1,0.0277777777777778,2021,"seedbank"
"38","Antelope","11","Water Addition","PEVI","PF",2,0,2,0.0555555555555556,2021,"seedbank"
"39","Antelope","11","Water Addition","SATR","A",26,0,26,0.722222222222222,2021,"seedbank"
"40","Antelope","11","Water Addition","SPHA","PF",1,0,1,0.0277777777777778,2021,"seedbank"
"41","Antelope","11","Water Addition","TAOF","PF",1,1,0,0,2021,"seedbank"
"42","Antelope","12","Water Exclusion","GUSA","S",1,0,1,0.0185185185185185,2021,"seedbank"
"43","Antelope","12","Water Exclusion","PLJA","PG4",1,0,1,0.0185185185185185,2021,"seedbank"
"44","Antelope","12","Water Exclusion","SATR","A",52,0,52,0.962962962962963,2021,"seedbank"
"45","Arboretum","1","Water Exclusion","ACMI","PF",2,0,2,0.0344827586206897,2021,"seedbank"
"46","Arboretum","1","Water Exclusion","ARFE","PF",3,0,3,0.0517241379310345,2021,"seedbank"
"47","Arboretum","1","Water Exclusion","ERFL","A",1,0,1,0.0172413793103448,2021,"seedbank"
"48","Arboretum","1","Water Exclusion","ERSP","A",40,0,40,0.689655172413793,2021,"seedbank"
"49","Arboretum","1","Water Exclusion","LUKI","A",1,0,1,0.0172413793103448,2021,"seedbank"
"50","Arboretum","1","Water Exclusion","SPHA","PF",6,0,6,0.103448275862069,2021,"seedbank"
"51","Arboretum","1","Water Exclusion","TAOF","PF",6,1,5,0.0862068965517241,2021,"seedbank"
"52","Arboretum","2","Control","ACMI","PF",1,0,1,0.0303030303030303,2021,"seedbank"
"53","Arboretum","2","Control","ARFE","PF",4,0,4,0.121212121212121,2021,"seedbank"
"54","Arboretum","2","Control","CHSE","A",2,0,2,0.0606060606060606,2021,"seedbank"
"55","Arboretum","2","Control","ELEL","PG3",1,0,1,0.0303030303030303,2021,"seedbank"
"56","Arboretum","2","Control","ERSP","A",14,0,14,0.424242424242424,2021,"seedbank"
"57","Arboretum","2","Control","LUKI","A",1,0,1,0.0303030303030303,2021,"seedbank"
"58","Arboretum","2","Control","MUMO","PG4",1,0,1,0.0303030303030303,2021,"seedbank"
"59","Arboretum","2","Control","PEVI","PF",1,0,1,0.0303030303030303,2021,"seedbank"
"60","Arboretum","2","Control","SPHA","PF",6,0,6,0.181818181818182,2021,"seedbank"
"61","Arboretum","2","Control","TAOF","PF",3,1,2,0.0606060606060606,2021,"seedbank"
"62","Arboretum","3","Water Addition","ACMI","PF",4,0,4,0.0396039603960396,2021,"seedbank"
"63","Arboretum","3","Water Addition","ARCA","PF",2,0,2,0.0198019801980198,2021,"seedbank"
"64","Arboretum","3","Water Addition","ARFE","PF",22,0,22,0.217821782178218,2021,"seedbank"
"65","Arboretum","3","Water Addition","ASHU","PF",1,0,1,0.0099009900990099,2021,"seedbank"
"66","Arboretum","3","Water Addition","ERSP","A",20,0,20,0.198019801980198,2021,"seedbank"
"67","Arboretum","3","Water Addition","PEVI","PF",1,0,1,0.0099009900990099,2021,"seedbank"
"68","Arboretum","3","Water Addition","POHI","PF",4,0,4,0.0396039603960396,2021,"seedbank"
"69","Arboretum","3","Water Addition","SPHA","PF",42,0,42,0.415841584158416,2021,"seedbank"
"70","Arboretum","3","Water Addition","TAOF","PF",6,1,5,0.0495049504950495,2021,"seedbank"
"71","Arboretum","4","Water Exclusion","ACMI","PF",5,0,5,0.0354609929078014,2021,"seedbank"
"72","Arboretum","4","Water Exclusion","ARCA","PF",1,0,1,0.00709219858156028,2021,"seedbank"
"73","Arboretum","4","Water Exclusion","ARFE","PF",7,0,7,0.049645390070922,2021,"seedbank"
"74","Arboretum","4","Water Exclusion","ASHU","PF",1,0,1,0.00709219858156028,2021,"seedbank"
"75","Arboretum","4","Water Exclusion","CHAL","A",1,0,1,0.00709219858156028,2021,"seedbank"
"76","Arboretum","4","Water Exclusion","ERSP","A",72,0,72,0.51063829787234,2021,"seedbank"
"77","Arboretum","4","Water Exclusion","LUKI","A",1,0,1,0.00709219858156028,2021,"seedbank"
"78","Arboretum","4","Water Exclusion","PEVI","PF",1,0,1,0.00709219858156028,2021,"seedbank"
"79","Arboretum","4","Water Exclusion","POHI","PF",1,0,1,0.00709219858156028,2021,"seedbank"
"80","Arboretum","4","Water Exclusion","SPHA","PF",15,0,15,0.106382978723404,2021,"seedbank"
"81","Arboretum","4","Water Exclusion","TAOF","PF",29,1,28,0.198581560283688,2021,"seedbank"
"82","Arboretum","4","Water Exclusion","VETH","A",12,4,8,0.0567375886524823,2021,"seedbank"
"83","Arboretum","5","Control","ARFE","PF",16,0,16,0.533333333333333,2021,"seedbank"
"84","Arboretum","5","Control","ELEL","PG3",6,0,6,0.2,2021,"seedbank"
"85","Arboretum","5","Control","ERSP","A",5,0,5,0.166666666666667,2021,"seedbank"
"86","Arboretum","5","Control","SPHA","PF",1,0,1,0.0333333333333333,2021,"seedbank"
"87","Arboretum","5","Control","TAOF","PF",3,1,2,0.0666666666666667,2021,"seedbank"
"88","Arboretum","5","Control","VETH","A",1,4,0,0,2021,"seedbank"
"89","Arboretum","6","Control","ARCA","PF",4,0,4,0.148148148148148,2021,"seedbank"
"90","Arboretum","6","Control","ASHU","PF",1,0,1,0.037037037037037,2021,"seedbank"
"91","Arboretum","6","Control","BLTR","PG4",4,0,4,0.148148148148148,2021,"seedbank"
"92","Arboretum","6","Control","ELEL","PG3",5,0,5,0.185185185185185,2021,"seedbank"
"93","Arboretum","6","Control","TAOF","PF",14,1,13,0.481481481481481,2021,"seedbank"
"94","Arboretum","6","Control","VETH","A",1,4,0,0,2021,"seedbank"
"95","Arboretum","7","Water Exclusion","ACMI","PF",1,0,1,0.00826446280991736,2021,"seedbank"
"96","Arboretum","7","Water Exclusion","ANRO","PF",4,0,4,0.0330578512396694,2021,"seedbank"
"97","Arboretum","7","Water Exclusion","ARFE","PF",8,0,8,0.0661157024793388,2021,"seedbank"
"98","Arboretum","7","Water Exclusion","BLTR","PG4",4,0,4,0.0330578512396694,2021,"seedbank"
"99","Arboretum","7","Water Exclusion","CHAL","A",1,0,1,0.00826446280991736,2021,"seedbank"
"100","Arboretum","7","Water Exclusion","ELEL","PG3",6,0,6,0.0495867768595041,2021,"seedbank"
"101","Arboretum","7","Water Exclusion","ERSP","A",32,0,32,0.264462809917355,2021,"seedbank"
"102","Arboretum","7","Water Exclusion","SPHA","PF",1,0,1,0.00826446280991736,2021,"seedbank"
"103","Arboretum","7","Water Exclusion","TAOF","PF",65,1,64,0.528925619834711,2021,"seedbank"
"104","Arboretum","8","Water Addition","ARFE","PF",2,0,2,0.0555555555555556,2021,"seedbank"
"105","Arboretum","8","Water Addition","BLTR","PG4",11,0,11,0.305555555555556,2021,"seedbank"
"106","Arboretum","8","Water Addition","CHAL","A",5,0,5,0.138888888888889,2021,"seedbank"
"107","Arboretum","8","Water Addition","LUKI","A",1,0,1,0.0277777777777778,2021,"seedbank"
"108","Arboretum","8","Water Addition","PEVI","PF",3,0,3,0.0833333333333333,2021,"seedbank"
"109","Arboretum","8","Water Addition","POOL","A",4,1,3,0.0833333333333333,2021,"seedbank"
"110","Arboretum","8","Water Addition","SPHA","PF",2,0,2,0.0555555555555556,2021,"seedbank"
"111","Arboretum","8","Water Addition","TAOF","PF",10,1,9,0.25,2021,"seedbank"
"112","Arboretum","9","Water Addition","ACMI","PF",1,0,1,0.0217391304347826,2021,"seedbank"
"113","Arboretum","9","Water Addition","ARCA","PF",3,0,3,0.0652173913043478,2021,"seedbank"
"114","Arboretum","9","Water Addition","ARFE","PF",15,0,15,0.326086956521739,2021,"seedbank"
"115","Arboretum","9","Water Addition","ASHU","PF",1,0,1,0.0217391304347826,2021,"seedbank"
"116","Arboretum","9","Water Addition","ELEL","PG3",5,0,5,0.108695652173913,2021,"seedbank"
"117","Arboretum","9","Water Addition","ERSP","A",12,0,12,0.260869565217391,2021,"seedbank"
"118","Arboretum","9","Water Addition","SPHA","PF",9,0,9,0.195652173913043,2021,"seedbank"
"119","Arboretum","10","Water Exclusion","ARFE","PF",4,0,4,0.0701754385964912,2021,"seedbank"
"120","Arboretum","10","Water Exclusion","CHAL","A",1,0,1,0.0175438596491228,2021,"seedbank"
"121","Arboretum","10","Water Exclusion","ERFL","A",1,0,1,0.0175438596491228,2021,"seedbank"
"122","Arboretum","10","Water Exclusion","ERSP","A",26,0,26,0.456140350877193,2021,"seedbank"
"123","Arboretum","10","Water Exclusion","PEVI","PF",2,0,2,0.0350877192982456,2021,"seedbank"
"124","Arboretum","10","Water Exclusion","SPHA","PF",5,0,5,0.087719298245614,2021,"seedbank"
"125","Arboretum","10","Water Exclusion","TAOF","PF",19,1,18,0.315789473684211,2021,"seedbank"
"126","Arboretum","11","Control","ACMI","PF",4,0,4,0.0597014925373134,2021,"seedbank"
"127","Arboretum","11","Control","ARCA","PF",2,0,2,0.0298507462686567,2021,"seedbank"
"128","Arboretum","11","Control","ELEL","PG3",1,0,1,0.0149253731343284,2021,"seedbank"
"129","Arboretum","11","Control","ERSP","A",33,0,33,0.492537313432836,2021,"seedbank"
"130","Arboretum","11","Control","PEVI","PF",2,0,2,0.0298507462686567,2021,"seedbank"
"131","Arboretum","11","Control","SPHA","PF",8,0,8,0.119402985074627,2021,"seedbank"
"132","Arboretum","11","Control","TAOF","PF",18,1,17,0.253731343283582,2021,"seedbank"
"133","Arboretum","12","Water Addition","ANRO","PF",1,0,1,0.024390243902439,2021,"seedbank"
"134","Arboretum","12","Water Addition","ARCA","PF",1,0,1,0.024390243902439,2021,"seedbank"
"135","Arboretum","12","Water Addition","ARFE","PF",7,0,7,0.170731707317073,2021,"seedbank"
"136","Arboretum","12","Water Addition","ELEL","PG3",3,0,3,0.0731707317073171,2021,"seedbank"
"137","Arboretum","12","Water Addition","ERSP","A",17,0,17,0.414634146341463,2021,"seedbank"
"138","Arboretum","12","Water Addition","SPHA","PF",10,0,10,0.24390243902439,2021,"seedbank"
"139","Arboretum","12","Water Addition","TAOF","PF",3,1,2,0.0487804878048781,2021,"seedbank"
"140","Arboretum","12","Water Addition","VETH","A",3,4,0,0,2021,"seedbank"
"141","Black Point","1","Water Exclusion","SATR","A",0,0,0,NA,2021,"seedbank"
"142","Black Point","2","Water Exclusion","SATR","A",4,0,4,1,2021,"seedbank"
"143","Black Point","2","Water Exclusion","VETH","A",1,4,0,0,2021,"seedbank"
"144","Black Point","3","Control","PLJA","PG4",3,0,3,0.5,2021,"seedbank"
"145","Black Point","3","Control","SATR","A",3,0,3,0.5,2021,"seedbank"
"146","Black Point","4","Water Exclusion","BOER","PG4",3,0,3,0.230769230769231,2021,"seedbank"
"147","Black Point","4","Water Exclusion","PLJA","PG4",1,0,1,0.0769230769230769,2021,"seedbank"
"148","Black Point","4","Water Exclusion","SATR","A",2,0,2,0.153846153846154,2021,"seedbank"
"149","Black Point","4","Water Exclusion","SPHA","PF",7,0,7,0.538461538461538,2021,"seedbank"
"150","Black Point","5","Control","BOER","PG4",1,0,1,0.25,2021,"seedbank"
"151","Black Point","5","Control","CAJA","PF",1,0,1,0.25,2021,"seedbank"
"152","Black Point","5","Control","PLJA","PG4",2,0,2,0.5,2021,"seedbank"
"153","Black Point","5","Control","SATR","A",0,0,0,0,2021,"seedbank"
"154","Black Point","6","Control","SATR","A",1,0,1,1,2021,"seedbank"
"155","Black Point","7","Water Exclusion","ERFL","A",1,0,1,0.0666666666666667,2021,"seedbank"
"156","Black Point","7","Water Exclusion","PLJA","PG4",7,0,7,0.466666666666667,2021,"seedbank"
"157","Black Point","7","Water Exclusion","SATR","A",7,0,7,0.466666666666667,2021,"seedbank"
"158","Black Point","8","Control","DAPU","PG4",1,0,1,0.0666666666666667,2021,"seedbank"
"159","Black Point","8","Control","ERSP","A",2,0,2,0.133333333333333,2021,"seedbank"
"160","Black Point","8","Control","SATR","A",11,0,11,0.733333333333333,2021,"seedbank"
"161","Black Point","8","Control","SPHA","PF",1,0,1,0.0666666666666667,2021,"seedbank"
"162","Black Point","9","Water Addition","BOER","PG4",1,0,1,0.0434782608695652,2021,"seedbank"
"163","Black Point","9","Water Addition","CHSE","A",1,0,1,0.0434782608695652,2021,"seedbank"
