,Species,Site,Plot,Tally,last_updated
1,ACMI,Ponderosa pine meadow,1,2,7/18/2022
2,ACMI,Ponderosa pine meadow,2,1,7/18/2022
3,ACMI,Ponderosa pine meadow,3,4,7/18/2022
4,ACMI,Ponderosa pine meadow,4,5,7/18/2022
5,ACMI,Ponderosa pine meadow,7,1,7/18/2022
6,ACMI,Ponderosa pine meadow,9,1,7/18/2022
7,ACMI,Ponderosa pine meadow,11,4,7/18/2022
8,ACMI,Desert grassland,4,4,7/18/2022
9,ACMI,Mixed conifer meadow,10,3,7/18/2022
10,AMDI,Juniper savanna,10,1,7/18/2022
11,ANRO,Ponderosa pine meadow,7,4,7/18/2022
12,ANRO,Ponderosa pine meadow,12,1,7/18/2022
13,ANRO,Mixed conifer meadow,1,27,6/20/2022
14,ANRO,Mixed conifer meadow,2,10,7/18/2022
15,ANRO,Mixed conifer meadow,3,12,7/18/2022
16,ANRO,Mixed conifer meadow,4,4,7/18/2022
17,ANRO,Mixed conifer meadow,5,1,6/20/2022
18,ANRO,Mixed conifer meadow,6,10,7/18/2022
19,ANRO,Mixed conifer meadow,7,2,7/18/2022
20,ANRO,Mixed conifer meadow,8,5,6/23/2022
21,ANRO,Mixed conifer meadow,9,14,7/18/2022
22,ANRO,Mixed conifer meadow,10,1,6/20/2022
23,ANRO,Mixed conifer meadow,11,12,6/23/2022
24,ANRO,Mixed conifer meadow,12,13,7/18/2022
25,ARCA,Ponderosa pine meadow,3,2,7/18/2022
26,ARCA,Ponderosa pine meadow,4,1,7/18/2022
27,ARCA,Ponderosa pine meadow,6,4,7/18/2022
28,ARCA,Ponderosa pine meadow,9,3,7/18/2022
29,ARCA,Ponderosa pine meadow,11,2,7/18/2022
30,ARCA,Ponderosa pine meadow,12,1,7/18/2022
31,ASHU,Ponderosa pine meadow,3,1,7/18/2022
32,ASHU,Ponderosa pine meadow,4,1,7/18/2022
33,ASHU,Ponderosa pine meadow,6,1,7/18/2022
34,ASHU,Ponderosa pine meadow,9,1,7/18/2022
35,BASC,Desert scrub,10,2,5/31/2022
36,BASC,Juniper savanna,1,7,6/22/2022
37,BASC,Juniper savanna,2,1,7/18/2022
38,BASC,Juniper savanna,3,3,7/18/2022
39,BASC,Juniper savanna,4,1,6/22/2022
40,BASC,Juniper savanna,5,1,6/22/2022
41,BASC,Juniper savanna,6,6,6/22/2022
42,BASC,Juniper savanna,7,1,6/22/2022
43,BASC,Juniper savanna,8,3,6/22/2022
44,BASC,Juniper savanna,10,7,6/22/2022
45,BASC,Juniper savanna,11,2,7/18/2022
46,BASC,Juniper savanna,12,3,7/18/2022
47,BASC,Desert grassland,2,1,6/22/2022
48,BASC,Desert grassland,8,1,7/18/2022
49,BASC,Desert grassland,10,1,7/18/2022
50,BASC,Desert grassland,11,1,6/22/2022
51,BOER,Desert grassland,1,1,7/18/2022
52,BOER,Desert grassland,2,1,6/23/2022
53,BOER,Desert grassland,5,5,7/18/2022
54,BOER,Desert grassland,8,1,7/18/2022
55,BOER,Desert grassland,11,3,6/23/2022
56,BOER,Desert scrub,4,3,6/23/2022
57,BOER,Desert scrub,5,1,7/18/2022
58,BOER,Desert scrub,9,1,7/18/2022
59,BOER,Desert scrub,10,1,6/23/2022
60,BOGR,Juniper savanna,1,3,7/18/2022
61,BOGR,Juniper savanna,2,6,7/18/2022
62,BOGR,Juniper savanna,3,4,7/18/2022
63,BOGR,Juniper savanna,4,1,7/18/2022
64,BOGR,Juniper savanna,5,1,7/18/2022
65,BOGR,Juniper savanna,6,16,7/18/2022
66,BOGR,Juniper savanna,7,8,7/18/2022
67,BOGR,Juniper savanna,8,2,7/18/2022
68,BOGR,Juniper savanna,9,4,7/18/2022
69,BOGR,Juniper savanna,10,1,7/18/2022
70,BOGR,Juniper savanna,11,2,7/18/2022
71,BOGR,Juniper savanna,12,2,7/18/2022
72,BRPO,Mixed conifer meadow,1,3,6/22/2022
73,BRPO,Mixed conifer meadow,3,1,6/22/2022
74,BRPO,Mixed conifer meadow,7,2,6/22/2022
75,BRPO,Mixed conifer meadow,11,1,6/22/2022
76,CHAL,Ponderosa pine meadow,4,1,7/5/2022
77,CHAL,Ponderosa pine meadow,7,1,6/23/2022
78,CHAL,Ponderosa pine meadow,8,5,6/23/2022
79,CHAL,Ponderosa pine meadow,10,1,6/23/2022
80,CHER,Juniper savanna,9,1,7/18/2022
81,CHER,Juniper savanna,10,23,7/18/2022
82,CHER,Juniper savanna,12,4,7/18/2022
83,CHSE,Ponderosa pine meadow,2,2,7/18/2022
84,CHSE,Mixed conifer meadow,6,1,7/18/2022
85,CHSE,Desert grassland,1,1,7/18/2022
86,CHSE,Desert grassland,3,1,7/18/2022
87,CHSE,Desert grassland,6,1,6/16/2022
88,CHSE,Juniper savanna,5,1,7/18/2022
89,CHSE,Desert scrub,9,1,7/18/2022
90,DAPU,Desert scrub,8,1,7/18/2022
91,ELEL,Ponderosa pine meadow,2,1,6/23/2022
92,ELEL,Ponderosa pine meadow,5,6,7/18/2022
93,ELEL,Ponderosa pine meadow,6,5,7/18/2022
94,ELEL,Ponderosa pine meadow,7,6,7/18/2022
95,ELEL,Ponderosa pine meadow,9,5,6/23/2022
96,ELEL,Ponderosa pine meadow,11,1,5/31/2022
97,ELEL,Ponderosa pine meadow,12,3,7/18/2022
98,ELEL,Juniper savanna,2,2,6/30/2022
99,ELEL,Juniper savanna,4,2,6/30/2022
100,ELEL,Juniper savanna,5,2,6/30/2022
101,ELEL,Juniper savanna,6,4,7/18/2022
102,ELEL,Juniper savanna,8,2,6/30/2022
103,ELEL,Juniper savanna,10,4,7/18/2022
104,ELEL,Juniper savanna,11,1,7/18/2022
105,ELEL,Juniper savanna,12,1,7/18/2022
106,ELEL,Mixed conifer meadow,1,6,6/22/2022
107,ELEL,Mixed conifer meadow,2,1,6/22/2022
108,ELEL,Mixed conifer meadow,3,3,6/23/2022
109,ELEL,Mixed conifer meadow,4,15,6/23/2022
110,ELEL,Mixed conifer meadow,5,2,6/23/2022
111,ELEL,Mixed conifer meadow,6,8,6/22/2022
112,ELEL,Mixed conifer meadow,7,11,7/18/2022
113,ELEL,Mixed conifer meadow,8,3,6/22/2022
114,ELEL,Mixed conifer meadow,9,4,6/22/2022
115,ELEL,Mixed conifer meadow,10,5,6/22/2022
116,ELEL,Mixed conifer meadow,11,10,7/18/2022
117,ARFE,Ponderosa pine meadow,1,3,7/18/2022
118,ARFE,Ponderosa pine meadow,2,4,7/18/2022
119,ARFE,Ponderosa pine meadow,3,22,7/18/2022
120,ARFE,Ponderosa pine meadow,4,7,7/18/2022
121,ARFE,Ponderosa pine meadow,5,16,7/18/2022
122,ARFE,Ponderosa pine meadow,7,8,7/18/2022
123,ARFE,Ponderosa pine meadow,8,2,6/23/2022
124,ARFE,Ponderosa pine meadow,9,15,7/18/2022
125,ARFE,Ponderosa pine meadow,10,4,7/18/2022
126,ARFE,Ponderosa pine meadow,12,7,7/18/2022
127,ARFE,Mixed conifer meadow,4,1,7/18/2022
128,ARFE,Mixed conifer meadow,11,3,7/18/2022
129,ERFL,Mixed conifer meadow,1,1,7/18/2022
130,ERFL,Mixed conifer meadow,10,3,7/18/2022
131,ERFL,Mixed conifer meadow,12,1,7/18/2022
132,ERFL,Ponderosa pine meadow,1,1,7/18/2022
133,ERFL,Ponderosa pine meadow,10,1,7/18/2022
134,GUSA,Desert grassland,2,3,6/1/2022
135,GUSA,Desert grassland,6,2,6/1/2022
136,GUSA,Desert grassland,12,1,6/1/2022
137,HYHO,Mixed conifer meadow,5,2,7/18/2022
138,IRMI,Mixed conifer meadow,5,2,7/18/2022
139,IRMI,Mixed conifer meadow,12,1,7/18/2022
140,LUKI,Ponderosa pine meadow,1,1,7/18/2022
141,LUKI,Ponderosa pine meadow,2,1,6/10/2022
142,LUKI,Ponderosa pine meadow,8,1,6/10/2022
143,LUKI,Juniper savanna,5,1,6/10/2022
144,LUKI,Ponderosa pine meadow,4,1,6/22/2022
145,MEAL,Juniper savanna,2,1,7/18/2022
146,MEAL,Juniper savanna,10,1,7/18/2022
147,MUMO,Mixed conifer meadow,1,4,6/17/2022
148,MUMO,Mixed conifer meadow,2,2,6/10/2022
149,MUMO,Mixed conifer meadow,3,0,6/10/2022
150,MUMO,Mixed conifer meadow,4,4,6/23/2022
151,MUMO,Mixed conifer meadow,5,1,6/10/2022
152,MUMO,Mixed conifer meadow,6,1,6/10/2022
153,MUMO,Mixed conifer meadow,7,6,6/10/2022
154,MUMO,Mixed conifer meadow,8,2,6/10/2022
155,MUMO,Mixed conifer meadow,9,2,6/10/2022
156,MUMO,Mixed conifer meadow,10,0,6/10/2022
157,MUMO,Mixed conifer meadow,11,5,6/10/2022
158,MUMO,Mixed conifer meadow,12,6,6/10/2022
159,BLTR,Ponderosa pine meadow,6,1,6/23/2022
160,BLTR,Ponderosa pine meadow,7,4,6/23/2022
161,BLTR,Ponderosa pine meadow,8,11,7/18/2022
162,BLTR,Ponderosa pine meadow,6,3,7/18/2022
163,OXLA,Mixed conifer meadow,8,1,7/18/2022
164,OXLA,Mixed conifer meadow,10,1,6/23/2022
165,PLJA,Desert grassland,1,1,6/23/2022
166,PLJA,Desert grassland,5,2,6/23/2022
167,PLJA,Desert scrub,3,3,7/18/2022
168,PLJA,Desert scrub,4,1,7/18/2022
169,PLJA,Desert scrub,5,2,7/18/2022
170,PLJA,Desert scrub,7,7,7/18/2022
171,PLJA,Desert scrub,9,1,7/18/2022
172,PLJA,Desert scrub,10,2,7/18/2022
173,PLJA,Desert scrub,11,4,7/18/2022
174,PLJA,Desert grassland,12,1,7/18/2022
175,POHI,Ponderosa pine meadow,3,4,6/23/2022
176,POHI,Ponderosa pine meadow,4,1,6/23/2022
177,POPR,Mixed conifer meadow,1,52,7/18/2022
178,POPR,Mixed conifer meadow,2,25,7/18/2022
179,POPR,Mixed conifer meadow,3,74,7/18/2022
180,POPR,Mixed conifer meadow,4,62,7/18/2022
181,POPR,Mixed conifer meadow,5,62,7/18/2022
182,POPR,Mixed conifer meadow,6,38,7/18/2022
183,POPR,Mixed conifer meadow,7,40,7/18/2022
184,POPR,Mixed conifer meadow,8,89,7/18/2022
185,POPR,Mixed conifer meadow,9,84,7/18/2022
186,POPR,Mixed conifer meadow,10,60,7/18/2022
187,POPR,Mixed conifer meadow,11,103,7/18/2022
188,POPR,Mixed conifer meadow,12,78,7/18/2022
189,POHI,Mixed conifer meadow,3,2,6/20/2022
190,POHI,Mixed conifer meadow,4,1,6/20/2022
191,POHI,Mixed conifer meadow,5,4,6/20/2022
192,POHI,Mixed conifer meadow,6,1,6/20/2022
193,POHI,Mixed conifer meadow,7,1,6/22/2022
194,POHI,Mixed conifer meadow,8,3,6/20/2022
195,POHI,Mixed conifer meadow,11,5,6/20/2022
196,POHI,Mixed conifer meadow,12,1,6/20/2022
197,POOL,Ponderosa pine meadow,8,4,5/31/2022
198,POOL,Blank,3,1,7/18/2022
199,POOL,Blank,10,1,7/18/2022
200,SATR,Desert grassland,1,15,7/18/2022
201,SATR,Desert grassland,2,32,5/31/2022
202,SATR,Desert grassland,3,59,5/31/2022
203,SATR,Desert grassland,4,37,7/18/2022
204,SATR,Desert grassland,5,12,6/13/2022
205,SATR,Desert grassland,6,14,5/31/2022
206,SATR,Desert grassland,7,53,5/31/2022
207,SATR,Desert grassland,8,6,5/31/2022
208,SATR,Desert grassland,9,18,7/18/2022
209,SATR,Desert grassland,10,17,7/18/2022
210,SATR,Desert grassland,11,26,5/31/2022
211,SATR,Desert grassland,12,52,5/31/2022
212,SATR,Desert scrub,1,0,5/31/2022
213,SATR,Desert scrub,2,4,5/31/2022
214,SATR,Desert scrub,3,3,5/31/2022
215,SATR,Desert scrub,4,2,5/31/2022
216,SATR,Desert scrub,5,0,5/31/2022
217,SATR,Desert scrub,6,1,7/18/2022
218,SATR,Desert scrub,7,7,5/31/2022
219,SATR,Desert scrub,8,11,5/31/2022
220,SATR,Desert scrub,9,20,5/31/2022
221,SATR,Desert scrub,10,10,5/31/2022
222,SATR,Desert scrub,11,0,5/31/2022
223,SATR,Desert scrub,12,3,5/31/2022
224,SATR,Juniper savanna,2,5,7/18/2022
225,SATR,Juniper savanna,7,1,5/31/2022
226,SATR,Juniper savanna,8,1,5/31/2022
227,TAOF,Ponderosa pine meadow,1,6,7/5/2022
228,TAOF,Ponderosa pine meadow,2,3,7/18/2022
229,TAOF,Ponderosa pine meadow,3,6,7/18/2022
230,TAOF,Ponderosa pine meadow,4,29,7/5/2022
231,TAOF,Ponderosa pine meadow,5,3,7/18/2022
232,TAOF,Ponderosa pine meadow,6,14,7/18/2022
233,TAOF,Ponderosa pine meadow,7,65,7/18/2022
234,TAOF,Ponderosa pine meadow,8,10,7/18/2022
235,TAOF,Ponderosa pine meadow,10,19,7/18/2022
236,TAOF,Ponderosa pine meadow,11,18,7/5/2022
237,TAOF,Ponderosa pine meadow,12,3,7/18/2022
238,TAOF,Mixed conifer meadow,5,2,7/18/2022
239,TAOF,Mixed conifer meadow,3,5,7/5/2022
240,TAOF,Mixed conifer meadow,7,1,7/5/2022
241,TAOF,Mixed conifer meadow,11,1,7/18/2022
242,TAOF,Desert grassland,4,2,7/18/2022
243,TAOF,Desert grassland,11,1,7/18/2022
244,TAOF,Juniper savanna,3,1,7/18/2022
245,TAOF,Juniper savanna,6,1,7/18/2022
246,TAOF,Juniper savanna,7,1,7/18/2022
247,TAOF,Desert scrub,10,1,7/18/2022
248,TAOF,Blank,6,1,7/18/2022
249,TAOF,Blank,10,1,7/18/2022
250,SPHA,Ponderosa pine meadow,4,15,7/18/2022
251,SPHA,Mixed conifer meadow,5,1,7/18/2022
252,SPHA,Mixed conifer meadow,7,4,7/18/2022
253,SPHA,Ponderosa pine meadow,7,1,7/18/2022
254,SPHA,Ponderosa pine meadow,12,10,7/18/2022
255,SPHA,Ponderosa pine meadow,1,6,7/18/2022
256,SPHA,Ponderosa pine meadow,2,6,7/18/2022
257,SPHA,Desert grassland,7,1,7/18/2022
258,SPHA,Desert grassland,3,1,7/18/2022
259,SPHA,Mixed conifer meadow,8,1,7/18/2022
260,SPHA,Ponderosa pine meadow,11,8,7/18/2022
261,SPHA,Ponderosa pine meadow,3,42,7/18/2022
262,SPHA,Mixed conifer meadow,11,6,7/18/2022
263,SPHA,Desert scrub,8,1,7/18/2022
264,SPHA,Ponderosa pine meadow,5,1,7/18/2022
265,SPHA,Mixed conifer meadow,2,1,7/18/2022
266,SPHA,Ponderosa pine meadow,9,9,7/18/2022
267,SPHA,Desert scrub,4,7,7/18/2022
268,SPHA,Ponderosa pine meadow,10,5,7/18/2022
269,SPHA,Desert grassland,11,1,7/18/2022
270,SPHA,Ponderosa pine meadow,8,2,7/18/2022
271,SPHA,Mixed conifer meadow,10,3,7/18/2022
272,SPHA,Mixed conifer meadow,12,4,7/18/2022
273,ERSP,Ponderosa pine meadow,4,72,7/18/2022
274,ERSP,Mixed conifer meadow,5,8,7/18/2022
275,ERSP,Mixed conifer meadow,7,13,7/18/2022
276,ERSP,Ponderosa pine meadow,7,32,7/18/2022
277,ERSP,Ponderosa pine meadow,12,17,7/18/2022
278,ERSP,Ponderosa pine meadow,1,40,7/18/2022
279,ERSP,Ponderosa pine meadow,2,14,7/18/2022
280,ERSP,Desert grassland,7,2,7/18/2022
281,ERSP,Desert grassland,3,1,7/18/2022
282,ERSP,Mixed conifer meadow,8,6,7/18/2022
283,ERSP,Ponderosa pine meadow,11,33,7/18/2022
284,ERSP,Mixed conifer meadow,4,3,7/18/2022
285,ERSP,Ponderosa pine meadow,3,20,7/18/2022
286,ERSP,Mixed conifer meadow,11,13,7/18/2022
287,ERSP,Desert scrub,8,2,7/18/2022
288,ERSP,Juniper savanna,2,2,7/18/2022
289,ERSP,Ponderosa pine meadow,5,5,7/18/2022
290,ERSP,Desert grassland,5,12,7/18/2022
291,ERSP,Mixed conifer meadow,3,5,7/18/2022
292,ERSP,Ponderosa pine meadow,9,12,7/18/2022
293,ERSP,Desert grassland,4,4,7/18/2022
294,ERSP,Ponderosa pine meadow,10,26,7/18/2022
295,ERSP,Desert grassland,11,2,7/18/2022
296,ERSP,Desert scrub,10,1,7/18/2022
297,PEVI,Ponderosa pine meadow,2,1,7/18/2022
298,PEVI,Ponderosa pine meadow,3,1,7/18/2022
299,PEVI,Ponderosa pine meadow,8,3,7/18/2022
300,PEVI,Ponderosa pine meadow,10,2,7/18/2022
301,PEVI,Ponderosa pine meadow,11,2,7/18/2022
302,PEVI,Desert grassland,11,2,7/18/2022
303,PEVI,Mixed conifer meadow,10,1,7/18/2022
304,MEMO,Desert grassland,4,1,7/18/2022
305,MEMO,Desert grassland,11,1,7/18/2022
306,CAJA,Desert scrub,5,1,7/18/2022
307,CAJA,Juniper savanna,2,1,7/18/2022
308,ERFL,Desert scrub,7,1,7/18/2022
309,ERFL,Desert scrub,11,1,7/18/2022
310,ERFL,Desert scrub,12,1,7/18/2022
311,MUMO,Ponderosa pine meadow,2,1,7/18/2022
312,PEVI,Ponderosa pine meadow,4,1,7/18/2022
313,PEVI,Mixed conifer meadow,10,1,7/18/2022
314,VETH,Mixed conifer meadow,1,88,7/18/2022
315,VETH,Mixed conifer meadow,2,100,7/18/2022
316,VETH,Mixed conifer meadow,3,142,7/18/2022
317,VETH,Mixed conifer meadow,4,97,7/18/2022
318,VETH,Mixed conifer meadow,5,102,7/18/2022
319,VETH,Mixed conifer meadow,6,72,7/18/2022
320,VETH,Mixed conifer meadow,7,55,7/18/2022
321,VETH,Mixed conifer meadow,8,101,7/18/2022
322,VETH,Mixed conifer meadow,9,41,7/18/2022
323,VETH,Mixed conifer meadow,10,46,7/18/2022
324,VETH,Mixed conifer meadow,11,19,7/18/2022
325,VETH,Mixed conifer meadow,12,28,7/18/2022
326,VETH,Juniper savanna,6,1,6/23/2022
327,VETH,Desert scrub,2,1,7/18/2022
328,VETH,Ponderosa pine meadow,4,12,7/18/2022
329,VETH,Ponderosa pine meadow,5,1,7/18/2022
330,VETH,Ponderosa pine meadow,6,1,7/18/2022
331,VETH,Ponderosa pine meadow,12,3,7/18/2022
332,VETH,Blank,11,4,7/18/2022
